CCc1sc(Br)cc1Br.Clc1ccc(I)cc1 CCC(Br)C(Br)c1cc(-c2ccc(Cl)cc2)sc1Br
Nc1ccc(Cl)cc1C(O)c1ccccc1Cl.O=C(O)C(F)(F)F O=C(Nc1ccc(Cl)cc1C(O)c1ccc(F)cc1Cl)C(F)(F)F
Cc1ccc(N)cc1I.O=C(O)CN(CC(=O)O)CC(=O)O Cc1ccc(NC(=O)CN(CC(=O)O)CC(=O)OCc2ccccc2)cc1I
CS(=O)(=O)c1cc(-c2ccncc2)ccc1N CCCCn1c2c(cc(NC(=O)OCc3ccccc3)c1=O)CCCC2
CN(C)c1ccnc(-c2cc(O)cc(CCl)n2)c1.CNCc1cc(-n2cccc2)ccn1 CN(C)Cc1cc(-n2cccc2)ccn1.CN(C)c1ccnc(-c2cc(O)cc(CO)n2)c1
CC(Br)c1ccccc1.CCNC(=O)c1ccc(-n2cc(C(=O)NC3CC3)nn2)c(O)c1 CCNC(=O)c1ccc(-n2cc(C(=O)O)nn2)c(OC(C)c2ccccc2)c1.NC1CC1
CON(C)C(=O)c1ccc(Cl)nc1.Fc1cccc(Br)c1F Fc1cccc(C(Br)c2ccc(Cl)nc2)c1F.O=C([O-])[O-]
N.O=[N+]([O-])c1c(Cl)ccnc1Cl CC(=O)Nc1ccnc(Cl)c1[N+](=O)[O-]
CCCCSC1(SCC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](OC(C)=O)C[C@@]21C CCCCSC1(SCC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O[Si](C)(C)C(C)(C)C)C[C@@]21C
CC(C)(C)c1cc(NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)n(-c2ccc(C=O)cc2)n1 CC(C)(C)c1cc(NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO[Si](C)(C)C(C)(C)C)c2)n(-c2ccc(CO)cc2)n1
Brc1ccc2ncnc(N3CCOCC3)c2c1.O=S(=O)(Nc1cncc(Br)c1)C1CCNCC1 CC(C)(C)OC(=O)N1CCC(S(=O)(=O)Nc2cncc(-c3ccc4ncnc(N5CCOCC5)c4c3)c2)CC1
CCCCCCCCOc1ccc(-c2ccc(C=O)s2)cc1.N#CCC(=O)O CCCCCCCCOc1ccc(-c2ccc(C=C(C#N)C(=O)OCC)s2)cc1
Clc1cccc(-c2cccc(Oc3cccc(Oc4ccccc4)c3)c2)c1.Oc1ccccc1Oc1ccccc1 Brc1cccc(Oc2ccccc2Oc2ccccc2)c1.OB(O)c1cccc(Oc2cccc(Oc3ccccc3)c2)c1
COc1cc([N+](=O)[O-])ccc1OCCBr.FC1CCNC1 COc1cc([N+](=O)[O-])ccc1OCC(=O)N1CCC(F)C1
CC(C)(C)OC(=O)NC1CCNCC1.CI C=O.CC(C)(C)OC(=O)NC1CCNCC1
Brc1cncc2ccccc12.C=C Brc1cncc2ccccc12.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1
CCI.CCOc1ccc(NC(=O)c2c[nH]c3c2C(=O)CCC3)cc1 CCOc1ccc(N)cc1.CCn1cc(C(=O)O)c2c1C(=O)CCC2
COc1cccc2oc(-c3cc(C)no3)cc12 COCOc1cccc2oc(-c3cc(C)no3)cc12
Brc1cnc2nc(N3CCNCC3)c3nncn3c2c1.[C-]#N CC(C)(C)OC(=O)N1CCN(c2nc3ncc(C#N)cc3n3cnnc23)CC1
Nc1cn[n+](C2CCCCC2)c(Cl)c1 O=[N+]([O-])c1cc[n+](C2CCCCC2)nc1
CCOC(=O)C(C(O)CCOCc1ccccc1)N(Cc1ccccc1)Cc1ccccc1 O=C(OCc1ccccc1)C(C(O)CCOCc1ccccc1)N(Cc1ccccc1)Cc1ccccc1
C#CCN(C(=O)C(C)SC)c1cn(-c2cccnc2)nc1Cl.OO C#CCN(C(=O)C(C)SC)c1cn(-c2cccnc2)nc1Cl.O=C(OO)c1cccc(Cl)c1
CCOC(=O)c1nc(-c2ccc(C)cc2)oc1C Cc1ccc(-c2nc(CO[Si](C)(C)C(C)(C)C)c(C)o2)cc1
COc1cc2oc(=O)c3c(c2cc1OCCCCl)CCC3.COc1ccccc1N1CCNCC1 COc1cc2oc(=O)c3c(c2cc1OCCCOS(C)(=O)=O)CCC3.COc1ccccc1N1CCNCC1
CC(C)OC(=O)COc1cccc(NC2CCc3ccc(-c4cccc(F)c4)cc32)c1.CI CC(C)OC(=O)COc1cccc(N(C)C2CCc3ccc(Br)cc32)c1.OB(O)c1cccc(F)c1
C1=C(c2cccc(-c3ccccc3)c2)CCNC1 CC(C)(C)OC(=O)N1CCC(c2cccc(-c3ccccc3)c2)CC1
CCOC(=O)CC(=O)Nc1cnn(C)c1N.ClC(c1ccccc1)(c1ccccc1)c1ccccc1 CCOC(=O)CC(=O)OCC.Cn1ncc(N)c1NC(c1ccccc1)(c1ccccc1)c1ccccc1
COCCl.Cc1cc(O)cc(C)c1-c1cccc(C=O)c1 COCOc1cc(C)c(Br)c(C)c1.O=Cc1cccc(B(O)O)c1
CC(C)[Mg+].COc1ccc(C=O)cc1-c1ccc(F)cc1 COc1ccc(C(=O)C(C)C)cc1-c1ccc(F)cc1
CC(O)c1c(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)n(Cc2ccccc2Cl)c2c(=O)n(C)c(=O)n(C)c12 CC(=O)c1c(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)[nH]c2c(=O)n(C)c(=O)n(C)c12.Clc1ccccc1CBr
Brc1ccc2cc[nH]c2c1.CON(C)C(=O)c1ccc(F)c(S(N)(=O)=O)c1 NS(=O)(=O)c1cc(C(=O)c2ccc3ccn(C(=O)OCc4ccccc4)c3c2)ccc1F
COc1ccc(-c2ccccc2)c2c1CCC(=O)N2Cc1ccc(-c2ccccc2)cc1 O=C1CCc2c(O)ccc(Br)c2N1Cc1ccc(-c2ccccc2)cc1.OB(O)c1ccccc1
CC(C)(COCc1ccccc1)CN1CCN(c2ccccc2OCC(F)(F)F)CC1 CC(C)(CO[Si](C)(C)C(C)(C)C)CN1CCN(c2ccccc2OCC(F)(F)F)CC1
NCCc1c(N)cc([N+](=O)[O-])cc1S(=O)(=O)Cc1ccccc1 Nc1cc(S(=O)(=O)Cc2ccccc2)c(CCN2C(=O)c3ccccc3C2=O)c(N)c1
CCOc1cccc(Br)n1.O=C(Cc1cn[nH]c1)NCc1ccc(F)cc1Cl CCOc1cccc(-n2cc(CC(=O)O)cn2)n1.NCc1ccc(F)cc1Cl
CCOC(=O)c1c(O)c(O)c(C(=O)OCC)n1-c1ccc(F)cc1.OCCOCc1ccccc1 CCOC(=O)c1c(OCCOCc2ccccc2)c(OCc2ccccc2)c(C(=O)OCC)n1-c1ccc(F)cc1
CC[C@H](C)[C@@H](CNCc1cccc2ccccc12)NC(=O)Cc1cncn1Cc1ccc(C#N)cc1.COC(=O)Cl CC[C@H](C)[C@@H](CN(Cc1cccc2ccccc12)C(=O)OC)N.N#Cc1ccc(Cn2cncc2CC(=O)O)cc1
C=CCCCCCC1(S(=O)(=O)NC(=O)OC(C)(C)C)CC1 C=CCCCCCC1(S(N)(=O)=O)CC1.O=C(OO)c1cccc(Cl)c1
C=C(C)C.C[C@H](O)[C@@H](N)C(=O)NC(=O)OCc1ccccc1 C[C@H](OC(C)(C)C)[C@@H](NC(=O)OC(C)(C)C)C(=O)NC(=O)OCc1ccccc1
CCOC(=O)c1ccc(S(=O)(=O)CCC2CCN(C(=O)OC(C)(C)C)CC2)cc1.N CC(C)(C)OC(=O)N1CCC(CCS(=O)(=O)c2ccc(C(=O)Cl)cc2)CC1.On1nnc2ccccc21
BrCc1ccccc1.OCC1C2CCC(O2)C1Cc1cc(F)ccc1O CC(=O)OCC1C2CCC(O2)C1Cc1cc(F)ccc1OCc1ccccc1
CC(=O)Nc1cccc(Br)n1.CC(=O)OO CC(=O)Nc1cccc(Br)n1.O=C(OO)c1cccc(Cl)c1
CS(=O)(=O)c1ccc(I)c(C(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1.NCC1CCCO1 CS(=O)(=O)c1ccc(N)c(C(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1.O=CC1CCCO1
COc1cc([N+](=O)[O-])cc(S(C)(=O)=O)c1 CS(=O)(=O)c1cc(OCc2ccccc2)cc([N+](=O)[O-])c1
C[C@@H]1CCCN[C@@H]1CNc1nc2cc(Cl)ccc2o1.Cc1ccc(-c2cncs2)c(C(=O)O)c1 Cc1ccc(-c2cncs2)c(C(=O)N2CCC[C@@H](C)[C@H]2CN)c1.Clc1ccc2oc(Cl)nc2c1
C#Cc1cc(C#N)cc(Br)c1N Brc1cc(Br)c2[nH]ccc2c1.N#C[Cu]
Nc1cccc([N+](=O)[O-])c1.Nc1cccnc1Cl O=[N+]([O-])c1cccc(Nc2ncccc2[N+](=O)[O-])c1
CCOC(=O)NCC(C(C)=O)C(=O)OCC CCOC(=O)Cl.CCOC(=O)[C@@H](CN)[C@@H](C)O
COc1ccc2c(c1)C(=O)C(=O)N2C(CC1CCCC1)C(=O)O COc1ccc2c(c1)CC(=O)N2C(CC1CCCC1)C(=O)OCc1ccccc1
CC(C)(C)OC(=O)Nc1cccc(N)c1.O=[N+]([O-])c1cccc(OCCBr)c1 CC(C)(C)OC(=O)Nc1cccc(N)c1.CS(=O)(=O)OCCOc1cccc([N+](=O)[O-])c1
CC(C)(C)OC(=O)Nc1cc(N2CCOCC2)c(C(F)(F)F)cc1N.CCOC(=O)CC(=O)c1cccc(-n2cnnc2)c1 CC(C)(C)OC(=O)CC(=O)c1cccc(-n2cnnc2)c1.CC(C)(C)OC(=O)Nc1cc(N2CCOCC2)c(C(F)(F)F)cc1N
CC(C)(C)OC(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1N=[N+]=[N-])C(=O)O.N#CCBr CC(C)(C)OC(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1Br)C(=O)OCC#N.[N-]=[N+]=[N-]
CCCCCCCCCCCC(=O)Cl.O=C1CCc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2N1 CCCCCCCCCCCC(=O)N1C(=O)CCc2ccc(OCCCCCl)cc21.c1cc2sccc2c(N2CCNCC2)c1
Brc1cccc2[nH]ncc12.[C-]#N N#Cc1cccc2c1cnn2C1CCCCO1
O=[N+]([O-])c1cnc(O)c(I)c1.OB(O)C1CC1 O=[N+]([O-])c1cnc(OC2CCCCO2)c(C2CC2)c1
CCOC(OCC)[C@H](CC(=O)OC(C)(C)C)NS(=O)(=O)c1ccc(N)cc1O.CSc1nc2ccccc2n1C[C@H](C)O CCOC(OCC)[C@H](CC(=O)OC(C)(C)C)NS(=O)(=O)c1ccc([N+](=O)[O-])cc1O[C@H](C)Cn1c(SC)nc2ccccc21
N#Cc1ccc2c(c1)c(-c1ccc3cc(OCCN4CCCC4)ccc3c1)nn2C1CCCCO1 CC1(C)OB(c2ccc3cc(OCCN4CCCC4)ccc3c2)OC1(C)C.N#Cc1ccc2[nH]nc(Cl)c2c1
C=O.NC(=O)C1(c2ccccc2CCc2nc(Nc3ccc(C4CCNCC4)cc3)ncc2C(F)(F)F)CC1 CN1CCC(c2ccc(N)cc2)CC1.NC(=O)C1(c2ccccc2CCc2nc(Cl)ncc2C(F)(F)F)CC1
NCCO.O=C(O)C1CN(C(=O)c2ccc(F)c(F)c2Nc2ccc(I)cc2F)C1 CC(C)(C)[Si](C)(C)OCCNC(=O)C1CN(C(=O)c2ccc(F)c(F)c2Nc2ccc(I)cc2F)C1
COC(=O)Cl.Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)NNc1ccccc1 COC(=O)N(N)c1ccccc1.Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)O
C#CC(=O)O.CCOC(=O)CN=[N+]=[N-] CCOC(=O)Cn1cc(C(=O)OC(C)(C)C)nn1
CN(CCO)c1ccc(-c2ccc(Cl)c3c(NS(C)(=O)=O)nn(C)c23)c([C@H](Cc2cc(F)cc(F)c2)NC(=O)C(F)(F)F)n1 CN(CCO)c1ccc(-c2ccc(Cl)c3c(NS(C)(=O)=O)nn(C)c23)c([C@@H](Cc2cc(F)cc(F)c2)NC(=O)OC(C)(C)C)n1
NC(=O)N1C[C@@H]2C[C@H]1CN2.O=Cc1ccc(Oc2nc3ccccc3s2)cc1 CCOC(=O)N1C[C@@H]2C[C@H]1CN2Cc1ccc(Oc2nc3ccccc3s2)cc1.[NH4+]
O=C(Cl)CCCc1ccccc1F COC(=O)C1CCCc2c(F)cccc21
CCCI.Cc1cc2c(cc1-c1cc(C=O)ccc1OC(F)(F)F)NC(=O)C2(C)C CCCN1C(=O)C(C)(C)c2cc(C)c(-c3cc(CO)ccc3OC(F)(F)F)cc21
O=C1CCN(C2(c3ccccc3)CCCCC2)CC1.[BH3-]C#N [N-]=[N+]=NC1CCN(C2(c3ccccc3)CCCCC2)CC1
CC(=O)OCCN.CC(=O)SC[C@H]1CCCCCC[C@H](C(=O)O)NC1=O CC(=O)OCCNC(=O)[C@H]1CCCCCC[C@H](CS)C(=O)N1.CC(=O)Cl
CCC(Br)C(=O)OC(C)(C)C.N#Cc1ccc(NCC(F)(F)F)cc1Cl CCC(NCC(F)(F)F)c1ccc(C#N)c(Cl)c1.CCOC(=O)C(Br)C(C)(C)C
Brc1nccs1.Cc1[nH]c(C(=O)NC2CCNCC2)c(Cl)c1Cl Cc1[nH]c(C(=O)Cl)c(Cl)c1Cl.NC1CCN(c2nccs2)CC1
CC(C)(C)c1ccnc(CN(Cc2ccc(CN)cc2CO)C2CCCc3cccnc32)c1.O=C(O)C1Cc2ccccc2CN1 CC(C)(C)c1ccnc(CN(Cc2ccc(CNC(=O)C3Cc4ccccc4CN3C(=O)OC(C)(C)C)cc2CO)C2CCCc3cccnc32)c1
Nc1ccc(C(F)(F)F)cc1N.O=C(O)c1ccc(-c2ncccc2Cl)cc1 Nc1ccc(C(F)(F)F)cc1N.O=C(CCC(=O)c1ccc(-c2ncccc2Cl)cc1)c1nc2ccccc2[nH]1
Nc1ccc(OCCN2CCCC2)cc1.O=Cc1ccc(OC2CCCCO2)cc1Cl C1CCNC1.O=CCOc1ccc(CNc2ccc(OCCN3CCCC3)cc2Cl)c(Cl)c1
N#Cc1ccc(N=C=O)cc1.c1ccc(-c2nsc(N3CCNCC3)n2)cc1 N#Cc1ccc(NC(=O)OCC(Cl)(Cl)Cl)cc1.c1ccc(-c2nsc(N3CCNCC3)n2)cc1
CI.COc1cc2ncnc(N3CCc4[nH]nc(CO)c4C3)c2cc1OC COc1cc2ncnc(Cl)c2cc1OC.Cn1nc(CO)c2c1CCNC2
C=CC(=O)OC.Clc1cc(Cl)cc(I)c1 COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=Cc1cc(Cl)cc(Cl)c1
COc1cc2c(cc1S(N)(=O)=O)CCNCC2c1ccccc1 CC(C)(C)OC(=O)N1CCc2cc(S(N)(=O)=O)c(O)cc2C1c1ccccc1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H]1CCCC[C@H]1C(=O)OCC CCCCC(=O)N(Cc1ccc(-c2ccccc2C#N)cc1)[C@@H]1CCCC[C@@H]1C(=O)O.[N-]=[N+]=[N-]
CS(=O)(=O)c1ccc2[nH]ccc2c1.Clc1ccc(CBr)nn1 CS(=O)(=O)c1ccc2[nH]ccc2c1.ClCc1ccc(Cl)nn1
CCOC(=O)CCc1ccc2c(c1)NCCN2C(=O)Cc1ccc(NC(=O)Nc2ccccc2C)c(OC)c1 COc1cc(CC(=O)N2CCNc3cc(CCC(=O)OC(C)(C)C)ccc32)ccc1NC(=O)Nc1ccccc1C
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C.ClCc1ccccc1 CC(=O)c1ccc2c(c1)C(C)(C)CCC2(C)C.O=C(OCc1ccccc1)c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
CN.COc1cc(C(=O)O)ccc1-c1cc(C(F)(F)F)cc2[nH]ncc12 CNC(=O)c1ccc(B(O)O)c(OC)c1.FC(F)(F)c1cc(Br)c2cn[nH]c2c1
COc1ccc([C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)CN2CCOCC2)C(=O)O)cc1.C[C@]1(C(=O)[C@@H](N)CC2CCCC2)CO1 COc1ccc([C@@H](O)[C@H](N)C(=O)N[C@@H](CC2CCCC2)C(=O)[C@@]2(C)CO2)cc1.C[C@H](NC(=O)CN1CCOCC1)C(=O)[O-]
COc1cc(CO)ccc1F CI.O=Cc1ccc(F)c(O)c1
COc1ccc(C(=O)CBr)cc1Cl.O=C(O)Cc1ccc(OCc2ccc3ccccc3n2)cc1 COc1ccc(C(=O)CCl)cc1Cl.O=C(O)Cc1ccc(OCc2ccc3ccccc3n2)cc1
C1CCNC1.O=C1CC[C@@H]2CN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H](Cc3c[nH]c4ccccc34)CN2C1 C1CCNC1.O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1C[C@H]2CC[C@@H](OS(C)(=O)=O)CN2C[C@H]1Cc1c[nH]c2ccccc12
[N-]=[N+]=NCC(=O)c1ccccn1 O[C@H](CCl)c1ccccn1.[N-]=[N+]=[N-]
BrCc1ccc2nonc2c1.Cc1cccc(-n2c(-c3ccc4ncnn4c3)c(C)[nH]c2=O)c1 Cc1c(-c2ccc3ncnn3c2)[nH]c(=O)n1Cc1ccc2nonc2c1.Cc1cccc(-n2c(Br)c(C)n(Cc3ccc4nonc4c3)c2=O)c1
CC(C)Oc1ccc(-c2noc(-c3ccc4[nH]ccc4c3)n2)cc1Cl.COC(=O)C1CCC(Br)C1 CC(C)Oc1ccc(-c2noc(-c3ccc4[nH]ccc4c3)n2)cc1Cl.COC(=O)C1CCC(OS(C)(=O)=O)C1
N#Cc1ccc(C(CCCO)n2cncc2C(=O)N2CCN(c3cccc(Cl)c3)C(=O)C2)cc1 CC(C)(C)OC(=O)CCC(c1ccc(C#N)cc1)n1cncc1C(=O)N1CCN(c2cccc(Cl)c2)C(=O)C1
COc1cccc(C=O)c1.NNc1cc(N2CCOCC2)n2nc(-c3ccccc3)cc2n1 CC(C)(C)OC(=O)N1CCC(N2c3ccccc3Oc3cc(-c4cccnc4)ccc32)CC1
COC(=O)c1cc(N)cc(-c2ccccc2)c1.COc1ncc(-c2ccc3c(Cl)c(C(N)=O)cnc3c2)c(OC)n1 COC(=O)c1cc(Nc2c(C(N)=O)cnc3cc(Br)ccc23)cc(-c2ccccc2)c1.COc1ncc(B(O)O)c(OC)n1
CC(C)=CCC/C(C)=C/CBr.CNC CC(C)=CCCC(C)=CCOS(C)(=O)=O.CNC
Brc1ccccn1.OB(O)c1cccc(Br)c1 Brc1cccc(Br)c1.CCCC[Sn](CCCC)(CCCC)c1ccccn1
CI.Nc1ncc(Cl)c(Nc2cc(I)ccc2OC2CCOCC2)n1 CN(c1cc(I)ccc1OC1CCOCC1)c1nc(Cl)ncc1Cl.N
Cc1ccc(Br)c2c1C(C(C)C)N(C(=O)CNCC1(O)CCCCC1)CC2 CC(C)n1nc(C(=O)NCCN2CCC(N)CC2)c2ccccc21.O=C(O)C12CC3CC(CC(O)(C3)C1)C2
COCCCN(C)CC#N COCCCN(C)CCNC(=O)OC(C)(C)C
N#Cc1cnc(Nc2cc(N3CCNCC3)ncn2)s1.O=C(CBr)NC1CC1 N#Cc1cnc(Cl)s1.Nc1cc(N2CCN(CC(=O)NC3CC3)CC2)ncn1
COc1cc([N+](=O)[O-])ccc1F.Oc1ccc(Cl)c(Cl)c1 COc1cc([N+](=O)[O-])ccc1Cl.Oc1ccc(Cl)c(Cl)c1
COc1ncc(CO)cc1F CN(C)C=O.COc1ncc(Br)cc1F
O=C1NC(=O)c2ccccc21.OC[C@H]1CO1 C=CCN1C(=O)c2ccccc2C1=O.O=C(OO)c1cccc(Cl)c1
O=[N+]([O-])c1nc(Cl)[nH]c1I Nc1c[nH]c([N+](=O)[O-])n1.O=C([O-])O
COC(=O)c1ccc(C=CC2CCOCC2)cc1 COC(=O)c1ccc(C(=O)CC2CCOCC2)cc1
CCI.COC(=O)c1ccc(-c2cc(OC)ccc2F)c(CO)c1 CCOCc1cc(C(=O)OC)ccc1Br.COc1ccc(F)c(B(O)O)c1
O=c1cc(NCCC2CC=CCN2Cc2ccc(Cl)c(Cl)c2)[nH]c2ccccc12 NCCC1CCCCN1Cc1ccc(Cl)c(Cl)c1.O=c1cc(OS(=O)(=O)C(F)(F)F)[nH]c2ccccc12
O=c1ccn2cc(C#Cc3ccc(F)cc3F)ccc2c1-c1c(F)cccc1F O=c1ccn2cc(C[P+](c3ccccc3)(c3ccccc3)c3ccccc3)ccc2c1-c1c(F)cccc1F.O=Cc1ccc(F)cc1F
COCCC(=O)Nc1cccc(CO)c1 COCCC(=O)Nc1cccc(C2OCCO2)c1
COC(=O)c1ccc(CBr)cc1.Oc1cc(Cl)ccc1-c1nc2cc(F)c(F)cc2n1CC1CCCCC1 COC(=O)c1ccc(COc2cc(Cl)ccc2C(=O)O)cc1.NNCC1CCCCC1.Nc1cc(F)c(F)cc1N
CC(C)(C)OC(=O)COc1nc(-c2ccc(F)cc2)cs1 CC(C)(C)OC(=O)N1CCC(N2c3ccccc3Oc3cc(-c4cccnc4)ccc32)CC1
CCOP(OCC)OCC.COCOc1cc(CI)cc(OCOC)c1CC=C(C)CCC=C(C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C CC(=O)CCC=C(C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C.CCOP(=O)(Cc1cc(OCOC)c(CBr)c(OCOC)c1)OCC
CCI.CCN(CC)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12 CCNCC.CCN(c1ccc2[nH]cc(CC=O)c2c1)S(=O)(=O)c1ccc2ccccc2c1
O=S(CCn1ccnn1)Cc1ccc(O)cc1.O=S(c1ccc(C=Cc2nc(CCl)co2)cc1)C(F)(F)F O=S(CCn1ccnn1)Cc1ccc(O)cc1.O=Cc1coc(/C=C/c2ccc(S(=O)C(F)(F)F)cc2)n1
CC1(C)CC(I)C(=O)Nc2cc([N+](=O)[O-])ccc21.[N-]=[N+]=[N-] CC1(C)CC(OS(C)(=O)=O)C(=O)Nc2cc([N+](=O)[O-])ccc21.[N-]=[N+]=[N-]
C[C@@H](N)C(N)=O.Nc1nc2nc(SCc3cccc(F)c3F)nc(Cl)c2s1 COC(=O)[C@@H](C)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12.N
CC1(c2ccccc2)OC(C(=O)O)=CC1=O.CO C=C(C(=O)OC)OC(C)(C)c1ccccc1.O=C(OO)c1cccc(Cl)c1
CI.COc1cnc(-c2cc[nH]n2)c2[nH]cc(C(=O)C(=O)N3CCN(c4nnnn4-c4ccccn4)CC3)c12 COc1cnc(-c2ccn(C)n2)c2[nH]cc(C(=O)C(=O)O)c12.c1ccc(-n2nnnc2N2CCNCC2)nc1
COC(=O)[C@@H]1C[C@H](O)CN1.N NC(=O)[C@@H]1C[C@H](O)CN1C(=O)OCc1ccccc1
NC(=O)c1ccc(F)c(Cl)c1.OC1CNCc2ccoc21 NC(=O)c1ccc(OC2CN(C(=O)OCc3ccccc3)Cc3ccoc32)c(Cl)c1
CC(C)(C)OC(=O)N1CCC(C#N)(C(=O)Nc2ccc(F)cn2)CC1 CC(C)(C)OC(=O)N1CCC(CNC(=O)OCc2ccccc2)(C(=O)Nc2ccc(F)cn2)CC1
COC(=O)/C=C/CN(C)[C@H]1CCOC1 CN(C/C=C/C(=O)OC(C)(C)C)[C@H]1CCOC1
COc1cc2nc[nH]c2cc1OC.N#Cc1sc(Cl)nc1-c1ccccc1 COc1cc2ncn(-c3nc(-c4ccccc4)c(C(N)=O)s3)c2cc1OC
CC(=O)Cl.Nc1cccc(C2=NNC(=O)C3CC23)c1 CC(=O)OC(C)=O.Nc1cccc(C2=NNC(=O)C3CC23)c1
Cn1ccnc1C(=O)CCCNC(=O)OC(C)(C)C CC(C)(C)OC(=O)NCCC[C@@H](O)c1ncc[nH]1.CI
COc1ccc2c(c1)CCN=C2C1CCCCC1 COc1ccc2c(c1)CC(=O)NC2C1CCCCC1
CC(C)(O)CC=CC1(C2=CC[C@H]3[C@@H](O)CCC[C@@]23C)CC1 CC(C)(O)CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.C[C@]12CCCC(=O)[C@H]1CC=C2C(=O)CCC(C)(C)O
COc1ccc(C(C)(C)CC#N)cc1C=O.N[C@H]1CCCN[C@H]1c1ccccc1 COc1ccc(C(C)(C)CC#N)cc1CN[C@H]1CCCN(C(=O)OC(C)(C)C)[C@H]1c1ccccc1
CCCCc1ncc(/C=C(\Cc2ccc(OC)cc2)c2nnn[nH]2)n1Cc1ccccc1Cl CCCCc1ncc(/C=C(\Cc2ccc(O)cc2)C#N)n1Cc1ccccc1Cl.[N-]=[N+]=[N-]
Cc1c(C(=O)c2ccccc2)c(NC(=O)CI)cn1C.NO Cc1c(C(=O)c2ccccc2)c(NC(=O)CNOC2CCCCO2)cn1C
CCC=C(C)C(CCC(C)C)OC CCC=C(C)C(CCC(C)C)O[Si](C)(C)C(C)(C)C
CC1Cc2ccc(-c3ccc(C(=O)O)nc3)cc2CN1c1cc(N2CCN(C)CC2)nc(N)n1.CN1CCNCC1 CC1Cc2ccc(B3OC(C)(C)C(C)(C)O3)cc2CN1c1cc(N2CCN(C)CC2)nc(N)n1.CN1CCN(C(=O)c2ccc(Br)cn2)CC1
ClC(c1ccccc1)(c1ccccc1)c1ccccc1.NC1C2CC3CC1CC(O)(C3)C2 CC(=O)OC12CC3CC(C1)C(NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(C3)C2
N[C@H]1CC[C@H](O)CC1.O=c1[nH]cnc2cc(F)ccc12 CC(C)(C)OC(=O)NC1CCC(Oc2ccc3c(=O)[nH]cnc3c2)CC1
CC(=O)Cl.COc1cc(N)ccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1 COc1cc(N)ccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1.O=C(O)C(F)=O
BrCCOC1CCCCO1.C=C(c1ccc(O)cc1)c1cccc(Br)c1 Brc1cccc(Br)c1.C=C(c1ccc(OCCOC2CCCCO2)cc1)c1cccc(Br)c1
COC(=O)c1ccc(Cl)c2[nH]c(=O)n(C)c12.NC=O CN(C)C(On1nnc2cccnc21)=[N+](C)C.Cn1c(=O)[nH]c2c(Cl)ccc(C(=O)O)c21
C#CCN.O=C(O)Cc1ccc(CBr)cc1 C#CCNC(=O)Cc1ccc(C)cc1.O=C1CCC(=O)N1Br
COc1c(Cl)cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc1Cl O=C(Cl)c1cc(Cl)c(O)c(Cl)c1.O=S1(=O)CNc2ccccc21
CC(C)(C)c1nc2c(Cl)cc(F)c(-n3c(=O)cc(C(F)(F)F)[nH]c3=O)c2o1.CI CC(C)(C)c1nc2c(Cl)cc(F)c(F)c2o1.Cn1c(C(F)(F)F)cc(=O)[nH]c1=O
CCOC(=O)c1cnc2c(C(F)(F)F)cccc2c1Cl.Nc1cccc(B(O)O)c1 CCOC(=O)c1cnc2c(C(F)(F)F)cccc2c1-c1cccc([N+](=O)[O-])c1
Fc1cccc(Nc2ccc(Cl)cc2)n1.c1ccc2[nH]ncc2c1 Clc1ccc(Nc2cccc(Cl)n2)cc1.c1ccc2[nH]ncc2c1
